Time, X, Y, Drive_Fwd, Drive_Turn, Climb, Level_Bin
0.0020, 0.0000, -0.0000, 0.5000, 0.0000, -0.0057, -0.0000
0.0040, 0.0000, 0.0000, 0.5000, 0.0000, -0.0112, -0.0000
0.0060, 0.0000, 0.0000, 0.5000, -0.0000, -0.0165, 0.0000
0.0080, 0.0000, 0.0000, 0.5000, 0.0000, -0.0216, 0.0001
0.0100, 0.0000, 0.0000, 0.5000, 0.0000, -0.0266, 0.0002
0.0120, 0.0000, 0.0000, 0.5000, 0.0000, -0.0315, 0.0004
0.0140, 0.0000, 0.0000, 0.5000, 0.0000, -0.0362, 0.0005
0.0160, 0.0000, 0.0000, 0.5000, 0.0000, -0.0409, 0.0006
0.0180, 0.0000, 0.0000, 0.5000, 0.0000, -0.0455, 0.0007
0.0200, 0.0000, 0.0000, 0.5000, 0.0000, -0.0500, 0.0007
0.0220, 0.0000, 0.0000, 0.5000, 0.0000, -0.0545, 0.0008
0.0240, 0.0000, 0.0000, 0.5000, 0.0000, -0.0589, 0.0009
0.0260, 0.0001, 0.0000, 0.5000, 0.0000, -0.0632, 0.0009
0.0280, 0.0001, 0.0000, 0.5000, 0.0000, -0.0675, 0.0010
0.0300, 0.0001, 0.0000, 0.5000, 0.0000, -0.0717, 0.0010
0.0320, 0.0001, 0.0000, 0.5000, 0.0000, -0.0759, 0.0010
0.0340, 0.0001, 0.0000, 0.5000, 0.0000, -0.0801, 0.0011
0.0360, 0.0001, 0.0000, 0.5000, 0.0000, -0.0842, 0.0011
0.0380, 0.0001, 0.0000, 0.5000, 0.0000, -0.0883, 0.0011
0.0400, 0.0001, 0.0000, 0.5000, 0.0000, -0.0924, 0.0011
0.0420, 0.0001, 0.0000, 0.5000, 0.0000, -0.0964, 0.0011
0.0440, 0.0001, 0.0000, 0.5000, 0.0000, -0.1004, 0.0011
0.0460, 0.0001, 0.0000, 0.5000, 0.0000, -0.1043, 0.0010
0.0480, 0.0001, 0.0000, 0.5000, 0.0000, -0.1082, 0.0010
0.0500, 0.0001, 0.0000, 0.5000, 0.0000, -0.1120, 0.0010
0.0520, 0.0001, 0.0000, 0.5000, 0.0000, -0.1157, 0.0010
0.0540, 0.0001, 0.0000, 0.5000, 0.0000, -0.1193, 0.0010
0.0560, 0.0001, 0.0000, 0.5000, 0.0000, -0.1228, 0.0010
0.0580, 0.0001, 0.0000, 0.5000, 0.0000, -0.1263, 0.0009
0.0600, 0.0001, 0.0000, 0.5000, 0.0000, -0.1297, 0.0009
0.0620, 0.0001, 0.0000, 0.5000, 0.0000, -0.1330, 0.0009
0.0640, 0.0001, 0.0000, 0.5000, 0.0000, -0.1363, 0.0009
0.0660, 0.0001, 0.0000, 0.5000, 0.0000, -0.1395, 0.0009
0.0680, 0.0001, 0.0000, 0.5000, 0.0000, -0.1427, 0.0008
0.0700, 0.0001, 0.0000, 0.5000, 0.0000, -0.1458, 0.0008
0.0720, 0.0000, 0.0000, 0.5000, 0.0000, -0.1488, 0.0008
0.0740, 0.0000, 0.0000, 0.5000, 0.0000, -0.1519, 0.0008
0.0760, 0.0000, 0.0000, 0.5000, 0.0000, -0.1548, 0.0008
0.0780, 0.0000, 0.0000, 0.5000, 0.0000, -0.1578, 0.0008
0.0800, 0.0000, 0.0000, 0.5000, 0.0000, -0.1607, 0.0008
0.0820, 0.0000, 0.0000, 0.5000, -0.0000, -0.1635, 0.0008
0.0840, 0.0000, 0.0000, 0.5000, -0.0000, -0.1664, 0.0008
0.0860, 0.0000, 0.0000, 0.5000, -0.0000, -0.1692, 0.0008
0.0880, 0.0000, 0.0000, 0.5000, -0.0000, -0.1720, 0.0008
0.0900, 0.0000, 0.0000, 0.5000, -0.0000, -0.1747, 0.0008
0.0920, 0.0000, 0.0000, 0.5000, -0.0000, -0.1774, 0.0008
0.0940, 0.0000, 0.0000, 0.5000, -0.0000, -0.1801, 0.0008
0.0960, 0.0000, 0.0000, 0.5000, -0.0000, -0.1828, 0.0008
0.0980, 0.0000, 0.0000, 0.5000, -0.0000, -0.1854, 0.0008
0.1000, 0.0000, 0.0000, 0.5000, -0.0000, -0.1881, 0.0008
0.1020, 0.0000, 0.0000, 0.5000, -0.0000, -0.1907, 0.0008
0.1040, 0.0000, 0.0000, 0.5000, -0.0000, -0.1933, 0.0008
0.1060, 0.0000, 0.0000, 0.5000, -0.0000, -0.1958, 0.0008
0.1080, 0.0000, 0.0000, 0.5000, -0.0000, -0.1983, 0.0008
0.1100, 0.0000, 0.0000, 0.5000, -0.0000, -0.2008, 0.0009
0.1120, 0.0000, 0.0000, 0.5000, -0.0000, -0.2032, 0.0009
0.1140, 0.0000, 0.0000, 0.5000, -0.0000, -0.2056, 0.0009
0.1160, 0.0000, 0.0000, 0.5000, -0.0000, -0.2079, 0.0009
0.1180, 0.0000, 0.0000, 0.5000, -0.0000, -0.2102, 0.0009
0.1200, 0.0000, 0.0000, 0.5000, -0.0000, -0.2124, 0.0010
0.1220, 0.0000, 0.0000, 0.5000, -0.0000, -0.2146, 0.0010
0.1240, 0.0000, 0.0000, 0.5000, -0.0000, -0.2168, 0.0010
0.1260, 0.0000, 0.0000, 0.5000, -0.0000, -0.2189, 0.0010
0.1280, 0.0000, 0.0000, 0.5000, -0.0000, -0.2210, 0.0011
0.1300, 0.0000, 0.0000, 0.5000, -0.0000, -0.2230, 0.0011
0.1320, 0.0001, 0.0000, 0.5000, -0.0000, -0.2250, 0.0012
0.1340, 0.0001, 0.0000, 0.5000, -0.0000, -0.2270, 0.0012
0.1360, 0.0001, 0.0000, 0.5000, -0.0000, -0.2290, 0.0012
0.1380, 0.0001, 0.0000, 0.5000, -0.0000, -0.2309, 0.0013
0.1400, 0.0001, 0.0000, 0.5000, -0.0000, -0.2328, 0.0013
0.1420, 0.0001, 0.0000, 0.5000, -0.0000, -0.2346, 0.0014
0.1440, 0.0001, 0.0000, 0.5000, -0.0000, -0.2365, 0.0014
0.1460, 0.0001, 0.0000, 0.5000, -0.0000, -0.2383, 0.0015
0.1480, 0.0001, 0.0000, 0.5000, -0.0000, -0.2400, 0.0015
0.1500, 0.0001, 0.0000, 0.5000, -0.0000, -0.2418, 0.0016
0.1520, 0.0001, 0.0000, 0.5000, -0.0000, -0.2435, 0.0017
0.1540, 0.0001, -0.0000, 0.5000, 0.0000, -0.2452, 0.0017
0.1560, 0.0002, -0.0000, 0.5000, 0.0000, -0.2447, 0.0018
0.1580, 0.0004, 0.0000, 0.5000, 0.0000, -0.2417, 0.0021
0.1600, 0.0007, 0.0000, 0.5000, 0.0000, -0.2279, 0.0027
0.1620, 0.0011, 0.0000, 0.5000, 0.0000, -0.2060, 0.0039
0.1640, 0.0016, 0.0000, 0.5000, 0.0000, -0.1778, 0.0055
0.1660, 0.0021, 0.0000, 0.5000, 0.0001, -0.1442, 0.0076
0.1680, 0.0027, 0.0000, 0.5000, 0.0001, -0.1053, 0.0100
0.1700, 0.0034, 0.0000, 0.5000, 0.0002, -0.0610, 0.0127
0.1720, 0.0041, 0.0000, 0.5000, 0.0004, -0.0117, 0.0156
0.1740, 0.0049, 0.0000, 0.5000, 0.0005, 0.0422, 0.0188
0.1760, 0.0058, 0.0000, 0.5000, 0.0006, 0.0990, 0.0210
0.1780, 0.0066, 0.0000, 0.5000, 0.0007, 0.1573, 0.0225
0.1800, 0.0075, 0.0001, 0.5000, 0.0008, 0.2158, 0.0233
0.1820, 0.0083, 0.0001, 0.5000, 0.0009, 0.2733, 0.0236
0.1840, 0.0092, 0.0001, 0.5000, 0.0009, 0.3292, 0.0234
0.1860, 0.0101, 0.0001, 0.5000, 0.0009, 0.3831, 0.0228
0.1880, 0.0110, 0.0001, 0.5000, 0.0010, 0.4348, 0.0219
0.1900, 0.0118, 0.0001, 0.5000, 0.0010, 0.4843, 0.0208
0.1920, 0.0127, 0.0001, 0.5000, 0.0009, 0.5316, 0.0195
0.1940, 0.0136, 0.0001, 0.5000, 0.0009, 0.5767, 0.0180
0.1960, 0.0145, 0.0001, 0.5000, 0.0009, 0.6196, 0.0164
0.1980, 0.0154, 0.0001, 0.5000, 0.0009, 0.6605, 0.0147
0.2000, 0.0163, 0.0001, 0.5000, 0.0009, 0.6992, 0.0130
0.2020, 0.0172, 0.0001, 0.5000, 0.0008, 0.7361, 0.0112
0.2040, 0.0181, 0.0001, 0.5000, 0.0008, 0.7711, 0.0094
0.2060, 0.0191, 0.0000, 0.5000, 0.0008, 0.8048, 0.0079
0.2080, 0.0200, 0.0000, 0.5000, 0.0008, 0.8377, 0.0067
0.2100, 0.0210, 0.0000, 0.5000, 0.0008, 0.8668, 0.0058
0.2120, 0.0219, 0.0000, 0.5000, 0.0007, 0.8922, 0.0051
0.2140, 0.0228, 0.0000, 0.5000, 0.0006, 0.9149, 0.0049
0.2160, 0.0236, 0.0000, 0.5000, 0.0005, 0.9351, 0.0050
0.2180, 0.0245, 0.0000, 0.5000, 0.0005, 0.9535, 0.0053
0.2200, 0.0254, 0.0000, 0.5000, 0.0004, 0.9705, 0.0060
0.2220, 0.0263, 0.0000, 0.5000, 0.0004, 0.9866, 0.0069
0.2240, 0.0273, 0.0000, 0.5000, 0.0004, 1.0021, 0.0080
0.2260, 0.0282, 0.0000, 0.5000, 0.0004, 1.0175, 0.0093
0.2280, 0.0292, 0.0000, 0.5000, 0.0004, 1.0322, 0.0107
0.2300, 0.0302, 0.0000, 0.5000, 0.0004, 1.0465, 0.0123
0.2320, 0.0312, 0.0000, 0.5000, 0.0004, 1.0605, 0.0140
0.2340, 0.0323, 0.0000, 0.5000, 0.0004, 1.0744, 0.0157
0.2360, 0.0334, 0.0000, 0.5000, 0.0004, 1.0894, 0.0175
0.2380, 0.0346, 0.0000, 0.5000, 0.0004, 1.1053, 0.0193
0.2400, 0.0358, 0.0000, 0.5000, 0.0005, 1.1217, 0.0211
0.2420, 0.0371, 0.0000, 0.5000, 0.0005, 1.1384, 0.0229
0.2440, 0.0384, 0.0000, 0.5000, 0.0005, 1.1551, 0.0246
0.2460, 0.0397, 0.0000, 0.5000, 0.0005, 1.1718, 0.0264
0.2480, 0.0411, 0.0000, 0.5000, 0.0005, 1.1882, 0.0281
0.2500, 0.0426, 0.0000, 0.5000, 0.0006, 1.2042, 0.0298
0.2520, 0.0440, 0.0000, 0.5000, 0.0006, 1.2197, 0.0316
0.2540, 0.0455, 0.0000, 0.5000, 0.0006, 1.2346, 0.0333
0.2560, 0.0470, 0.0000, 0.5000, 0.0007, 1.2483, 0.0350
0.2580, 0.0485, 0.0000, 0.5000, 0.0007, 1.2608, 0.0366
0.2600, 0.0500, 0.0000, 0.5000, 0.0007, 1.2721, 0.0382
0.2620, 0.0516, 0.0000, 0.5000, 0.0007, 1.2825, 0.0397
0.2640, 0.0531, 0.0000, 0.5000, 0.0008, 1.2920, 0.0412
0.2660, 0.0546, -0.0000, 0.5000, 0.0008, 1.3006, 0.0427
0.2680, 0.0562, -0.0000, 0.5000, 0.0008, 1.3085, 0.0441
0.2700, 0.0578, -0.0000, 0.5000, 0.0008, 1.3157, 0.0455
0.2720, 0.0593, -0.0000, 0.5000, 0.0009, 1.3222, 0.0468
0.2740, 0.0609, -0.0000, 0.5000, 0.0009, 1.3282, 0.0481
0.2760, 0.0625, -0.0000, 0.5000, 0.0009, 1.3336, 0.0493
0.2780, 0.0641, -0.0000, 0.5000, 0.0009, 1.3386, 0.0505
0.2800, 0.0656, -0.0000, 0.5000, 0.0010, 1.3432, 0.0516
0.2820, 0.0672, -0.0000, 0.5000, 0.0010, 1.3474, 0.0527
0.2840, 0.0688, -0.0000, 0.5000, 0.0010, 1.3512, 0.0538
0.2860, 0.0705, -0.0000, 0.5000, 0.0010, 1.3547, 0.0548
0.2880, 0.0721, -0.0000, 0.5000, 0.0011, 1.3580, 0.0557
0.2900, 0.0737, -0.0000, 0.5000, 0.0011, 1.3613, 0.0566
0.2920, 0.0754, -0.0000, 0.5000, 0.0011, 1.3648, 0.0575
0.2940, 0.0771, -0.0000, 0.5000, 0.0011, 1.3684, 0.0585
0.2960, 0.0788, -0.0000, 0.5000, 0.0011, 1.3721, 0.0594
0.2980, 0.0805, -0.0000, 0.5000, 0.0011, 1.3760, 0.0604
0.3000, 0.0823, -0.0000, 0.5000, 0.0011, 1.3799, 0.0615
0.3020, 0.0841, -0.0000, 0.5000, 0.0011, 1.3840, 0.0625
0.3040, 0.0859, -0.0000, 0.5000, 0.0012, 1.3881, 0.0637
0.3060, 0.0877, -0.0000, 0.5000, 0.0012, 1.3923, 0.0648
0.3080, 0.0895, -0.0000, 0.5000, 0.0012, 1.3965, 0.0660
0.3100, 0.0914, -0.0000, 0.5000, 0.0012, 1.4007, 0.0672
0.3120, 0.0933, -0.0000, 0.5000, 0.0012, 1.4049, 0.0684
0.3140, 0.0952, -0.0000, 0.5000, 0.0012, 1.4090, 0.0696
0.3160, 0.0971, -0.0000, 0.5000, 0.0012, 1.4131, 0.0709
0.3180, 0.0991, -0.0000, 0.5000, 0.0012, 1.4172, 0.0722
0.3200, 0.1011, -0.0000, 0.5000, 0.0012, 1.4212, 0.0735
0.3220, 0.1031, -0.0000, 0.5000, 0.0012, 1.4251, 0.0748
0.3240, 0.1051, -0.0000, 0.5000, 0.0012, 1.4289, 0.0761
0.3260, 0.1071, -0.0000, 0.5000, 0.0012, 1.4326, 0.0774
0.3280, 0.1092, -0.0000, 0.5000, 0.0012, 1.4363, 0.0788
0.3300, 0.1112, -0.0000, 0.5000, 0.0012, 1.4398, 0.0801
0.3320, 0.1133, -0.0000, 0.5000, 0.0012, 1.4432, 0.0815
0.3340, 0.1154, -0.0000, 0.5000, 0.0012, 1.4465, 0.0828
0.3360, 0.1175, -0.0000, 0.5000, 0.0012, 1.4497, 0.0842
0.3380, 0.1197, -0.0000, 0.5000, 0.0012, 1.4528, 0.0855
0.3400, 0.1218, -0.0000, 0.5000, 0.0012, 1.4558, 0.0869
0.3420, 0.1240, -0.0000, 0.5000, 0.0012, 1.4586, 0.0882
0.3440, 0.1262, -0.0000, 0.5000, 0.0012, 1.4614, 0.0896
0.3460, 0.1284, -0.0000, 0.5000, 0.0012, 1.4641, 0.0909
0.3480, 0.1306, -0.0000, 0.5000, 0.0012, 1.4667, 0.0922
0.3500, 0.1328, -0.0000, 0.5000, 0.0012, 1.4692, 0.0936
0.3520, 0.1350, -0.0000, 0.5000, 0.0012, 1.4716, 0.0949
0.3540, 0.1373, -0.0000, 0.5000, 0.0012, 1.4739, 0.0963
0.3560, 0.1395, -0.0000, 0.5000, 0.0012, 1.4761, 0.0976
0.3580, 0.1418, -0.0000, 0.5000, 0.0012, 1.4782, 0.0989
0.3600, 0.1441, -0.0000, 0.5000, 0.0012, 1.4803, 0.1003
0.3620, 0.1464, -0.0000, 0.5000, 0.0012, 1.4823, 0.1016
0.3640, 0.1487, -0.0000, 0.5000, 0.0012, 1.4842, 0.1029
0.3660, 0.1510, -0.0000, 0.5000, 0.0012, 1.4861, 0.1042
0.3680, 0.1533, -0.0000, 0.5000, 0.0012, 1.4879, 0.1055
0.3700, 0.1556, -0.0000, 0.5000, 0.0012, 1.4896, 0.1068
0.3720, 0.1580, -0.0000, 0.5000, 0.0012, 1.4913, 0.1081
0.3740, 0.1604, -0.0000, 0.5000, 0.0012, 1.4929, 0.1094
0.3760, 0.1627, -0.0000, 0.5000, 0.0012, 1.4943, 0.1107
0.3780, 0.1651, -0.0000, 0.5000, 0.0012, 1.4955, 0.1120
0.3800, 0.1675, -0.0000, 0.5000, 0.0012, 1.4964, 0.1133
0.3820, 0.1699, -0.0000, 0.5000, 0.0012, 1.4971, 0.1146
0.3840, 0.1723, -0.0000, 0.5000, 0.0012, 1.4977, 0.1159
0.3860, 0.1747, -0.0000, 0.5000, 0.0012, 1.4981, 0.1171
0.3880, 0.1771, -0.0000, 0.5000, 0.0012, 1.4985, 0.1184
0.3900, 0.1795, -0.0000, 0.5000, 0.0012, 1.4988, 0.1196
0.3920, 0.1820, -0.0000, 0.5000, 0.0012, 1.4990, 0.1209
0.3940, 0.1844, -0.0000, 0.5000, 0.0012, 1.4992, 0.1222
0.3960, 0.1869, -0.0000, 0.5000, 0.0012, 1.4994, 0.1234
0.3980, 0.1894, -0.0000, 0.5000, 0.0012, 1.4995, 0.1246
0.4000, 0.1918, -0.0000, 0.5000, 0.0012, 1.4996, 0.1259
0.4020, 0.1943, -0.0000, 0.5000, 0.0012, 1.4997, 0.1271
0.4040, 0.1968, -0.0000, 0.5000, 0.0012, 1.4998, 0.1283
0.4060, 0.1993, -0.0000, 0.5000, 0.0012, 1.4998, 0.1296
0.4080, 0.2018, -0.0000, 0.5000, 0.0012, 1.4998, 0.1308
0.4100, 0.2043, -0.0000, 0.5000, 0.0012, 1.4999, 0.1320
0.4120, 0.2068, -0.0000, 0.5000, 0.0012, 1.4999, 0.1332
0.4140, 0.2093, -0.0000, 0.5000, 0.0012, 1.4999, 0.1344
0.4160, 0.2118, -0.0000, 0.5000, 0.0012, 1.4999, 0.1356
0.4180, 0.2144, -0.0000, 0.5000, 0.0012, 1.4999, 0.1368
0.4200, 0.2169, -0.0000, 0.5000, 0.0012, 1.5000, 0.1380
0.4220, 0.2195, -0.0000, 0.5000, 0.0012, 1.5000, 0.1392
0.4240, 0.2220, -0.0000, 0.5000, 0.0012, 1.5000, 0.1404
0.4260, 0.2246, -0.0000, 0.5000, 0.0012, 1.5000, 0.1416
0.4280, 0.2271, -0.0000, 0.5000, 0.0012, 1.5000, 0.1427
0.4300, 0.2297, -0.0000, 0.5000, 0.0012, 1.5000, 0.1439
0.4320, 0.2323, -0.0000, 0.5000, 0.0012, 1.5000, 0.1451
0.4340, 0.2349, -0.0000, 0.5000, 0.0012, 1.5000, 0.1462
0.4360, 0.2374, -0.0000, 0.5000, 0.0012, 1.5000, 0.1474
0.4380, 0.2400, -0.0000, 0.5000, 0.0012, 1.5000, 0.1485
0.4400, 0.2426, -0.0000, 0.5000, 0.0012, 1.5000, 0.1497
0.4420, 0.2452, -0.0000, 0.5000, 0.0012, 1.5000, 0.1508
0.4440, 0.2478, -0.0000, 0.5000, 0.0012, 1.5000, 0.1520
0.4460, 0.2505, -0.0000, 0.5000, 0.0012, 1.5000, 0.1531
0.4480, 0.2531, -0.0000, 0.5000, 0.0012, 1.5000, 0.1542
0.4500, 0.2557, -0.0001, 0.5000, 0.0012, 1.5000, 0.1553
0.4520, 0.2583, -0.0001, 0.5000, 0.0012, 1.5000, 0.1565
0.4540, 0.2610, -0.0001, 0.5000, 0.0012, 1.5000, 0.1576
0.4560, 0.2636, -0.0001, 0.5000, 0.0012, 1.5000, 0.1587
0.4580, 0.2662, -0.0001, 0.5000, 0.0012, 1.5000, 0.1598
0.4600, 0.2689, -0.0001, 0.5000, 0.0012, 1.5000, 0.1609
0.4620, 0.2715, -0.0001, 0.5000, 0.0012, 1.5000, 0.1620
0.4640, 0.2742, -0.0001, 0.5000, 0.0012, 1.5000, 0.1631
0.4660, 0.2768, -0.0001, 0.5000, 0.0012, 1.5000, 0.1641
0.4680, 0.2795, -0.0001, 0.5000, 0.0012, 1.5000, 0.1652
0.4700, 0.2822, -0.0001, 0.5000, 0.0012, 1.5000, 0.1663
0.4720, 0.2848, -0.0001, 0.5000, 0.0012, 1.5000, 0.1674
0.4740, 0.2875, -0.0001, 0.5000, 0.0012, 1.5000, 0.1684
0.4760, 0.2902, -0.0001, 0.5000, 0.0012, 1.5000, 0.1695
0.4780, 0.2929, -0.0001, 0.5000, 0.0012, 1.5000, 0.1705
0.4800, 0.2956, -0.0001, 0.5000, 0.0012, 1.5000, 0.1716
0.4820, 0.2982, -0.0001, 0.5000, 0.0012, 1.5000, 0.1726
0.4840, 0.3009, -0.0001, 0.5000, 0.0012, 1.5000, 0.1736
0.4860, 0.3036, -0.0001, 0.5000, 0.0012, 1.5000, 0.1747
0.4880, 0.3063, -0.0001, 0.5000, 0.0012, 1.5000, 0.1757
0.4900, 0.3090, -0.0001, 0.5000, 0.0012, 1.5000, 0.1767
0.4920, 0.3117, -0.0001, 0.5000, 0.0012, 1.5000, 0.1777
0.4940, 0.3145, -0.0001, 0.5000, 0.0012, 1.5000, 0.1787
0.4960, 0.3172, -0.0001, 0.5000, 0.0012, 1.5000, 0.1797
0.4980, 0.3199, -0.0001, 0.5000, 0.0012, 1.5000, 0.1807
0.5000, 0.3226, -0.0001, 0.5000, 0.0012, 1.5000, 0.1817
0.5020, 0.3253, -0.0001, 0.5000, 0.0012, 1.5000, 0.1827
0.5040, 0.3281, -0.0001, 0.5000, 0.0012, 1.5000, 0.1837
0.5060, 0.3308, -0.0001, 0.5000, 0.0012, 1.5000, 0.1846
0.5080, 0.3335, -0.0001, 0.5000, 0.0012, 1.5000, 0.1856
0.5100, 0.3363, -0.0001, 0.5000, 0.0012, 1.5000, 0.1866
0.5120, 0.3390, -0.0001, 0.5000, 0.0012, 1.5000, 0.1875
0.5140, 0.3417, -0.0001, 0.5000, 0.0012, 1.5000, 0.1884
0.5160, 0.3445, -0.0001, 0.5000, 0.0012, 1.5000, 0.1894
0.5180, 0.3472, -0.0001, 0.5000, 0.0012, 1.5000, 0.1903
0.5200, 0.3500, -0.0001, 0.5000, 0.0012, 1.5000, 0.1912
0.5220, 0.3527, -0.0001, 0.5000, 0.0012, 1.5000, 0.1921
0.5240, 0.3555, -0.0001, 0.5000, 0.0012, 1.5000, 0.1931
0.5260, 0.3583, -0.0001, 0.5000, 0.0012, 1.5000, 0.1940
0.5280, 0.3610, -0.0001, 0.5000, 0.0012, 1.5000, 0.1948
0.5300, 0.3638, -0.0001, 0.5000, 0.0012, 1.5000, 0.1957
0.5320, 0.3666, -0.0001, 0.5000, 0.0012, 1.5000, 0.1966
0.5340, 0.3693, -0.0001, 0.5000, 0.0012, 1.5000, 0.1975
0.5360, 0.3721, -0.0001, 0.5000, 0.0012, 1.5000, 0.1983
0.5380, 0.3749, -0.0001, 0.5000, 0.0012, 1.5000, 0.1992
0.5400, 0.3777, -0.0001, 0.5000, 0.0012, 1.5000, 0.2001
0.5420, 0.3805, -0.0001, 0.5000, 0.0012, 1.5000, 0.2009
0.5440, 0.3832, -0.0001, 0.5000, 0.0012, 1.5000, 0.2017
0.5460, 0.3860, -0.0001, 0.5000, 0.0012, 1.5000, 0.2026
0.5480, 0.3888, -0.0001, 0.5000, 0.0012, 1.5000, 0.2034
0.5500, 0.3916, -0.0001, 0.5000, 0.0012, 1.5000, 0.2042
0.5520, 0.3944, -0.0001, 0.5000, 0.0012, 1.5000, 0.2050
0.5540, 0.3972, -0.0001, 0.5000, 0.0012, 1.5000, 0.2058
0.5560, 0.4000, -0.0001, 0.5000, 0.0012, 1.5000, 0.2066
0.5580, 0.4028, -0.0001, 0.5000, 0.0012, 1.5000, 0.2074
0.5600, 0.4056, -0.0001, 0.5000, 0.0012, 1.5000, 0.2081
0.5620, 0.4085, -0.0001, 0.5000, 0.0012, 1.5000, 0.2089
0.5640, 0.4113, -0.0001, 0.5000, 0.0012, 1.5000, 0.2096
0.5660, 0.4141, -0.0001, 0.5000, 0.0012, 1.5000, 0.2104
0.5680, 0.4169, -0.0001, 0.5000, 0.0012, 1.5000, 0.2111
0.5700, 0.4197, -0.0001, 0.5000, 0.0012, 1.5000, 0.2119
0.5720, 0.4226, -0.0001, 0.5000, 0.0012, 1.5000, 0.2126
0.5740, 0.4254, -0.0001, 0.5000, 0.0012, 1.5000, 0.2133
0.5760, 0.4282, -0.0001, 0.5000, 0.0012, 1.5000, 0.2140
0.5780, 0.4311, -0.0001, 0.5000, 0.0012, 1.5000, 0.2147
0.5800, 0.4339, -0.0001, 0.5000, 0.0012, 1.5000, 0.2154
0.5820, 0.4367, -0.0001, 0.5000, 0.0012, 1.5000, 0.2161
0.5840, 0.4396, -0.0001, 0.5000, 0.0012, 1.5000, 0.2167
0.5860, 0.4424, -0.0001, 0.5000, 0.0012, 1.5000, 0.2174
0.5880, 0.4452, -0.0001, 0.5000, 0.0012, 1.5000, 0.2180
0.5900, 0.4480, -0.0001, 0.5000, 0.0012, 1.5000, 0.2186
0.5920, 0.4509, -0.0001, 0.5000, 0.0012, 1.5000, 0.2191
0.5940, 0.4537, -0.0001, 0.5000, 0.0012, 1.5000, 0.2196
0.5960, 0.4565, -0.0001, 0.5000, 0.0012, 1.5000, 0.2201
0.5980, 0.4593, -0.0001, 0.5000, 0.0012, 1.5000, 0.2205
0.6000, 0.4621, -0.0001, 0.5000, 0.0012, 1.5000, 0.2209
0.6020, 0.4648, -0.0001, 0.5000, 0.0012, 1.5000, 0.2213
0.6040, 0.4676, -0.0001, 0.5000, 0.0012, 1.5000, 0.2216
0.6060, 0.4704, -0.0001, 0.5000, 0.0012, 1.5000, 0.2219
0.6080, 0.4731, -0.0001, 0.5000, 0.0011, 1.5000, 0.2222
0.6100, 0.4759, -0.0001, 0.5000, 0.0011, 1.5000, 0.2224
0.6120, 0.4786, -0.0001, 0.5000, 0.0011, 1.5000, 0.2227
0.6140, 0.4813, -0.0001, 0.5000, 0.0011, 1.5000, 0.2228
0.6160, 0.4840, -0.0001, 0.5000, 0.0011, 1.5000, 0.2230
0.6180, 0.4868, -0.0001, 0.5000, 0.0011, 1.5000, 0.2232
0.6200, 0.4895, -0.0001, 0.5000, 0.0011, 1.5000, 0.2233
0.6220, 0.4922, -0.0001, 0.5000, 0.0011, 1.5000, 0.2234
0.6240, 0.4948, -0.0001, 0.5000, 0.0011, 1.5000, 0.2235
0.6260, 0.4975, -0.0001, 0.5000, 0.0011, 1.5000, 0.2236
0.6280, 0.5002, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6300, 0.5029, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6320, 0.5055, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6340, 0.5082, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6360, 0.5108, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6380, 0.5135, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6400, 0.5161, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6420, 0.5187, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6440, 0.5213, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6460, 0.5240, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6480, 0.5266, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6500, 0.5292, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6520, 0.5318, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6540, 0.5344, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6560, 0.5370, -0.0001, 0.5000, 0.0011, 1.5000, 0.2239
0.6580, 0.5395, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6600, 0.5421, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6620, 0.5447, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6640, 0.5473, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6660, 0.5498, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6680, 0.5524, -0.0001, 0.5000, 0.0011, 1.5000, 0.2238
0.6700, 0.5549, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6720, 0.5575, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6740, 0.5600, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6760, 0.5626, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6780, 0.5651, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
0.6800, 0.5676, -0.0001, 0.5000, 0.0011, 1.5000, 0.2237
